gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2517835184	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530250/format/large			WAG.1530250_0220417421							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517825179	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530256/format/large			WAG.1530256_1041198125							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517823156	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530251/format/large			WAG.1530251_0725976046							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517822120	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530209/format/large			WAG.1530209_576697797							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517816065	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530235/format/large			WAG.1530235_01468346868							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517816064	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530220/format/large			WAG.1530220_0448105552							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517814771	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1570710/format/large			WAG.1570710_93316934							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517814088	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530192/format/large			WAG.1530192_1014239446							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517813090	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530225/format/large			WAG.1530225_1319068619							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517806110	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530230/format/large			WAG.1530230_1059446257							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517802086	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530236/format/large			WAG.1530236_01973905493							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517799129	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530204/format/large			WAG.1530204_01190476374							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517797153	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530205/format/large			WAG.1530205_01696034999							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517628850	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1570695/format/large			WAG.1570695_1546537866							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517621103	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530198/format/large			WAG.1530198_02019112304							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517616171	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530216/format/large			WAG.1530216_0694041815							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517616170	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530201/format/large			WAG.1530201_326199501							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517616169	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530193/format/large			WAG.1530193_508680821							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517614240	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530246/format/large			WAG.1530246_0466353684							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517614239	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530231/format/large			WAG.1530231_553887632							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517613070	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530257/format/large			WAG.1530257_535639500							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517613069	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530242/format/large			WAG.1530242_1555880816							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517589125	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530241/format/large			WAG.1530241_2061439441							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517587120	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530199/format/large			WAG.1530199_1770296367							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517584175	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530215/format/large			WAG.1530215_0188483190							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517584174	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1530200/format/large			WAG.1530200_831758126							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
